openalexid,value,key
W4385069050,"['Generative AI', 'Wasserstein GAN']",New Generation of AI
W4385708899,['artificial neural network model'],Classic AI & Neural Network Architectures
W4313524269,"['CNNs', 'Neural Networks']",Classic AI & Neural Network Architectures
W4384339060,"['analogue computing', 'reservoir computing']",Classic AI & Neural Network Architectures
W4366280625,['CA-Markov'],Classic AI & Neural Network Architectures
W4387342987,['machine learning'],Classic Machine Learning
W4366188881,"['IoT', 'big data analytics', 'artificial intelligence']",Classic Machine Learning
W4360993816,['machine learning'],Classic Machine Learning
W4380763470,['AI'],Other
W4313472130,['data-driven artificial intelligence (AI) models'],Classic AI & Neural Network Architectures
W4393160910,"['Segment Anything Model', 'Semantic Segmentation']",Classic AI & Neural Network Architectures
W4327700148,['Decision Trees'],Classic Machine Learning
W4388498982,"['Computer Vision', 'Urban Planning']",Other
W4396769045,[],Other
W4386133991,"['IFD', 'SVENI', 'NTL']",Classic Machine Learning
W4385471804,['Artificial Neural Network'],Classic AI & Neural Network Architectures
W4386483125,[],Other
W4388841629,[],Other
W4388195162,"['Multi-criteria decision-making', 'GIS techniques']",Classic Machine Learning
W4400613682,"['Deep Learning', 'Convolutional Neural Networks (CNNs)']",Classic AI & Neural Network Architectures
W4320035810,"['multivariate random forest', 'univariate non-linear regression']",Classic Machine Learning
W4313681109,['machine learning'],Classic Machine Learning
W4318953575,['Random Forest'],Classic Machine Learning
W4390842159,['AI'],Other
W4320040361,N/A,N/A
W4390604402,['LSTM'],Classic Deep Learning
W4367046979,"['neural network based encoders', 'contrastive learning', 'cross-modality based contrastive learning framework', 'image-KG contrastive loss']",Classic AI & Neural Network Architectures
W4328050690,['CAI-net'],Classic AI & Neural Network Architectures
W4363648237,"['Deep Learning', 'U-Net']",Classic AI & Neural Network Architectures
W4318777634,['Decision Tree Analysis'],Classic Machine Learning
W4323313897,['CNNs'],Classic AI & Neural Network Architectures
W4388507577,"['advanced deep neural networks', 'GIS spatial analysis']",Classic AI & Neural Network Architectures
W4378229624,['deep learning'],Classic Deep Learning
W4381985156,['CNNs'],Classic AI & Neural Network Architectures
W4319081021,['multinomial regression'],Classic Machine Learning
W4392906975,[],New Generation of AI
W4385815609,['machine learning'],Classic Machine Learning
W4386134811,['artificial intelligence'],Other
W3200303296,['Transformers'],Classic AI & Neural Network Architectures
W4319304408,['machine learning'],Classic Machine Learning
W3011156941,"['CNNs', 'U-Net', 'ResUnet', 'Random Forest', 'Multilayer Perceptron']",Classic AI & Neural Network Architectures
W3199397800,N/A,N/A
W3133294546,"['physics-informed', 'modeling']",New Generation of AI
W3194456427,['neural networks'],Classic AI & Neural Network Architectures
W4293180257,"['deep learning', 'neural networks']",New Generation of AI
W3196792588,['machine learning'],Classic Machine Learning
W3131584643,['RNN'],Classic AI & Neural Network Architectures
W3040129451,['Random Forest'],Classic Machine Learning
W4221027767,"['machine learning', 'natural language processing', 'expert systems', 'pattern recognition', 'fuzzy logic models', 'computer vision']",Classic Machine Learning
W3036047738,[],Classic Machine Learning
W4282593046,['machine learning'],Classic Machine Learning
W3106719883,[],Other
W3198755449,"['AI', 'neural network architectures']",Other
W4220706376,['Reinforcement Learning'],Classic Machine Learning
W3041184455,['artificial intelligence'],Other
W3035647460,['Convolutional Neural Networks (CNN)'],Classic AI & Neural Network Architectures
W3156213164,['multilayered deep convolutional neural network'],New Generation of AI
W3005767652,N/A,N/A
W3015232219,"['Deep learning', 'pixel-level identification']",Classic AI & Neural Network Architectures
W2993514765,"['Backwards optimization', 'Layerwise relevance propagation']",New Generation of AI
W3009296583,"['stacking ensemble method', 'evaluation on a real-world dataset', 'geographically distributed infrastructure', 'efficient computation', 'response time', 'robustness to partial infrastructure failures', 'more accurate than the traditional seismometer-only approach and the combined-sensors (GPS and seismometers) approach that adopts the rule of relative strength']",Classic Machine Learning
W3160823100,['ANN'],Classic AI & Neural Network Architectures
W4200446026,"['Random Forest', 'Support Vector Machines', 'Artificial Neural Networks']",Classic Machine Learning
W4313472902,"['ML models', 'linear', 'non-linear']",Classic Machine Learning
W3137567560,"['Computer Vision', 'Text Mining']",Classic AI & Neural Network Architectures
W3185151041,['Classification and Regression Trees'],Classic Machine Learning
W3034218843,"['CNNs', 'deep learning-based']",New Generation of AI
W3111312026,"['Support Vector Machines (SVMs)', 'Markov chain', 'cellular automata']",Classic Machine Learning
W4296691827,[],Other
W3193123863,['machine learning'],Classic Machine Learning
W3011869042,"['Siamese Network', 'Early Fusion']",Classic AI & Neural Network Architectures
W3037587714,['Convolutional Neural Networks (CNN)'],Classic AI & Neural Network Architectures
W4220752280,['Artificial Intelligence'],Other
W3049378437,['Gaussian process-based methods'],Classic Machine Learning
W3131368289,"['TF-IDF', 'K-means']",Classic Machine Learning
W3185051919,N/A,N/A
W3153254740,[],Other
W3109821323,N/A,N/A
W4206971393,"['Random Forests', 'Machine Learning']",Classic Machine Learning
W4295278512,['machine learning'],Classic Machine Learning
W3216080452,['PredRNN'],Classic AI & Neural Network Architectures
W3088515710,"['Datalog queries', 'social simulation', 'player-specified but system-understandable author goals']",Other
W4280589740,"['DNN', 'ML-prediction', 'EKE-ResNet', 'HPC systems']",Classic AI & Neural Network Architectures
W3091982977,['image classification'],Other
W3047510468,"['emulators', 'parameter space', 'sampling']",Classic Machine Learning
W3164604177,"['DNNs', 'Neural Networks']",Classic AI & Neural Network Architectures
W4280581618,['EQ-Transformer'],New Generation of AI
W4285891375,['neural network'],Classic AI & Neural Network Architectures
W3107928073,"['adaptive machine learning', 'supervised learning', 'regression', 'lagged effects', 'time windows']",Classic Machine Learning
W3009876049,"['AI approach', 'SEIR model']",Classic Machine Learning
W3020807179,[],Classic Machine Learning
W3132859298,['3D-CNNs'],Classic AI & Neural Network Architectures
W3112266021,"['Convolutional Neural Networks (CNN)', 'Recurrent Neural Networks (RNN)']",Classic AI & Neural Network Architectures
W4298148810,"['Convolutional Neural Networks (CNNs)', 'Vision Transformers (ViT)']",Classic AI & Neural Network Architectures
W3212755948,"['Convolutional Neural Networks (CNNs)', 'Recurrent Neural Networks (RNNs)']",Classic AI & Neural Network Architectures
W3034385753,['Recurrent Neural Networks (RNNs)'],Classic AI & Neural Network Architectures
W4205546079,"['FC-ANNs', 'CNNs', 'RNNs']",Classic AI & Neural Network Architectures
W3011863222,"['Random Forest (RF)', 'Support Vector Regression (SVR)', 'Artificial Neural Network (ANN)', 'Multi‐Model Ensemble (MME)']",Classic Machine Learning
W2965580012,['CapsNets'],Classic AI & Neural Network Architectures
W3033652307,['Physics-guided ML models'],New Generation of AI
W3018651684,['CNNs'],Classic AI & Neural Network Architectures
W3156533854,['CNNs'],Classic AI & Neural Network Architectures
W4321214536,"['CNNs', 'Transfer Learning']",Classic AI & Neural Network Architectures
W4281804579,"['U-Net', 'DeepLab', 'Mask R-CNN']",Classic AI & Neural Network Architectures
W3082129780,['CNNs'],Classic AI & Neural Network Architectures
W4229369233,"['Supervised Learning', 'Unsupervised Learning']",Classic Machine Learning
W3047250172,"['Normalized Difference Vegetation Index (NDVI)', 'Convolutional Neural Networks (CNN)']",Classic Machine Learning
W3037147010,"['Fuzzy-Analytic Hierarchy Process', 'Artificial Neural Networks', 'Multilayer Perceptron']",Classic AI & Neural Network Architectures
W3037369538,"['machine learning', 'numerical models']",Classic Machine Learning
W3027907822,[],Other
W3090330565,['supervised classification'],Classic Machine Learning
W2991298899,['artificial neural networks'],Classic AI & Neural Network Architectures
W3012850569,['DNN'],Classic AI & Neural Network Architectures
W4318577731,['ANNS'],Classic AI & Neural Network Architectures
W4210738050,['Convolutional Neural Networks (CNN)'],Classic AI & Neural Network Architectures
W3110295943,['machine-learning techniques'],Classic Machine Learning
W3126940313,"['Gaussian process regression', 'Support vector regression', 'Broyden-Fletcher-Goldfarb-Shanno artificial neural networks', 'Long short-term memory']",Classic AI & Neural Network Architectures
W3006351417,['Convolutional Neural Networks (CNNs)'],Classic AI & Neural Network Architectures
W3215820471,['CNNs'],Classic AI & Neural Network Architectures
W3162538444,"['ANN', 'LSTM']",Classic Machine Learning
W3212132479,['machine learning'],Classic Machine Learning
W3140418716,['Convolutional Neural Networks (CNNs)'],Classic AI & Neural Network Architectures
W3009216045,"['Deep Convolutional Neural Networks (DCNN)', 'U-Net', 'SegNet']",Classic AI & Neural Network Architectures
W3154650405,"['Super Resolution Deep Residual Network', 'Deep Residual Network', 'Batch Normalization']",Classic AI & Neural Network Architectures
W4308540792,['CNN'],Classic AI & Neural Network Architectures
W3146049777,['Bayesian Neural Network (BNN)'],Classic AI & Neural Network Architectures
W3090970712,['CNN'],Classic AI & Neural Network Architectures
W4210551630,"['SVM', 'Artificial Neural Networks']",Classic Machine Learning
W3180954604,"['Quad-FPN', 'Convolutional Neural Networks (CNNs)']",Classic AI & Neural Network Architectures
W3155261023,['Convolutional Neural Networks (CNNs)'],Classic AI & Neural Network Architectures
W3128126482,['machine learning'],Classic Machine Learning
W4214812787,['artificial neural network'],Classic AI & Neural Network Architectures
W3083643364,[],Classic Machine Learning
W4293776491,"['Random Forest', 'Support Vector Machine (SVM)', 'Artificial Neural Network (ANN)']",Classic Machine Learning
W3043010374,"['CNN', 'average word embeddings', 'Support Vector Machines (SVMs)', 'Multilayer Perceptron (MLP)']",Classic AI & Neural Network Architectures
W3195031531,"['Autonomous machine learning', 'Hyperparameter pre-calibration', 'Theory-guided data science']",Classic Machine Learning
W4318071656,"['Language Models', 'Protein Design', 'Transformers']",New Generation of AI
W3109820329,['ARES technology'],Other
W3118853240,['Artificial Neural Network'],Classic AI & Neural Network Architectures
W4225899013,['Mask Region-based Convolutional Neural Network'],Classic AI & Neural Network Architectures
W3197711174,['artificial neural network'],Classic AI & Neural Network Architectures
W3215812365,"['Convolutional Neural Network (CNN)', 'Recurrent Neural Network (RNN)', 'Long Short-Term Memory (LSTM)']",Classic AI & Neural Network Architectures
W3091991770,"['Global issues', 'Ethical concerns']",Other
W3121083187,['Mask Region-based Convolutional Neural Networks'],Classic AI & Neural Network Architectures
W3096235391,['Convolutional Neural Networks (CNN)'],Classic AI & Neural Network Architectures
W2999219571,N/A,N/A
W4220732966,"['GrC-ANN', 'neural network models']",Classic AI & Neural Network Architectures
W3187070205,"['AI', 'machine learning']",Classic Machine Learning
W3183896951,"['Cellular Automata', 'Artificial Neural Networks']",Classic AI & Neural Network Architectures
W4282822959,"['CNN', 'Transformer', 'LSTM', 'LSTM-ATT']",Classic AI & Neural Network Architectures
W3127555882,['LSTM'],Classic AI & Neural Network Architectures
W3005063922,"['artificial neural networks', 'Multilayer Perceptrons (MLPs)']",Classic AI & Neural Network Architectures
W4283592988,N/A,N/A
W3089780760,['deep learning'],Classic AI & Neural Network Architectures
W4281993476,['pre-trained protein language models'],New Generation of AI
W4313434480,"['YOLO', 'Convolutional Neural Networks (CNNs)']",Classic AI & Neural Network Architectures
W3134412929,"['Random Forests', 'Support Vector Machines (SVMs)', 'Linear regression', 'Logistic regression', 'Classification algorithms']",Classic Machine Learning
W3176066814,['CNNs'],Classic AI & Neural Network Architectures
W3181294875,['supervised machine learning'],Classic Machine Learning
W3004015853,['neural network'],Classic AI & Neural Network Architectures
W3186545962,['autoregressive artificial neural network'],Classic AI & Neural Network Architectures
W3125547824,['Convolutional Neural Networks (CNNs)'],Classic AI & Neural Network Architectures
W3117652191,"['ResNet-101', 'Depthwise Separable Convolution', 'Multi-scale Densely Connected Module', 'Residual Convolution']",Classic AI & Neural Network Architectures
W3126773706,['machine learning classification'],Classic Machine Learning
W4296107393,"['CNN', 'LSTM']",Classic AI & Neural Network Architectures
W3082044521,"['statistical methods', 'artificial intelligence-based approaches']",Other
W3033650189,N/A,N/A
W3156106752,['model-agnostic'],Other
W2999667975,"['Random Forests', 'machine learning models']",Classic Machine Learning
W4213187122,"['CNN', 'Dilated Convolution']",Classic AI & Neural Network Architectures
W4288697319,"['Inception-ResNet-V2', 'CNN']",Classic AI & Neural Network Architectures
W3003931874,['ANNs'],Classic AI & Neural Network Architectures
W3130937359,['machine learning'],Other
W4220750391,"['Deep Neural Network', 'Training']",Classic Deep Learning
W3175213166,['U-Net'],Classic AI & Neural Network Architectures
W3113435130,['Machine learning'],Classic Machine Learning
W3124018482,['AI'],Other
W2998926617,"['ANN', 'GR2M']",Classic AI & Neural Network Architectures
W3211037204,N/A,N/A
W3160021293,['Graph Machine Learning'],New Generation of AI
W4318225439,['Transformer architecture'],Classic AI & Neural Network Architectures
W3163676459,"['CNNs', 'Transfer Learning']",Classic AI & Neural Network Architectures
W3188201332,['CNN'],Classic AI & Neural Network Architectures
W3117405359,['machine learning'],Classic Machine Learning
W4225916372,['Vision Transformers'],New Generation of AI
W4296137764,['AI'],New Generation of AI
W3162278734,"['machine learning', 'demystified']",Classic Machine Learning
W3025070658,['System Dynamics'],Other
W4285394443,"['LSTM', 'Encoder-decoder architecture', 'Recurrent Neural Networks']",Classic AI & Neural Network Architectures
W3093130013,['Recurrent Neural Networks (RNNs)'],Classic AI & Neural Network Architectures
W3035981841,"['SWAT', 'hydro-climatic extremes', 'artificial intelligence', 'reliability assessment', 'CMIP6', 'regional climate projections', 'extreme flow module']",Other
W3037664009,['Text annotations'],Classic AI & Neural Network Architectures
W4220780516,[],Classic Machine Learning
W3042032490,['MLP'],Classic AI & Neural Network Architectures
W4292429088,['Recurrent Neural Networks (RNN)'],Classic AI & Neural Network Architectures
W3039441806,['Generative AI'],New Generation of AI
W3195562771,"['Random Forest', 'K-Nearest Neighbors', 'Support Vector Machines', 'Decision Trees', 'Linear regression']",Classic Machine Learning
W4210392987,"['CNNs', 'UNet', 'Deeplab v3']",Classic AI & Neural Network Architectures
W3130575005,['machine learning'],Classic Machine Learning
W3028834207,['machine learning'],Classic Machine Learning
W3198897329,"['CNNs', 'Transformers']",Classic AI & Neural Network Architectures
W3086149193,"['AI', 'digital technologies']",New Generation of AI
W4311150398,"['machine learning techniques', 'Support Vector Machines (SVMs)', 'Random Forests']",Classic Machine Learning
W4220734222,['NLP'],Classic AI & Neural Network Architectures
W4206815340,[],Classic AI & Neural Network Architectures
W4394063158,[],Other
W4206924942,['artificial intelligence'],New Generation of AI
W4282600419,['Support Vector Machines (SVMs)'],Classic Machine Learning
W4313357273,N/A,N/A
W3208967317,"['cellular automata', 'artificial neural network']",Classic AI & Neural Network Architectures
W3088128915,"['deep convolutional neural networks (CNNs)', 'hierarchical cascade homogeneous neural network (HCHNet)']",Classic AI & Neural Network Architectures
W4283811973,"['LSTM networks', 'Mass-conserving LSTM']",New Generation of AI
W3134694888,['Random Forest'],Classic Machine Learning
W4392984771,['artificial intelligence-based forecasting'],Classic Deep Learning
W4225530673,['MLP-ANN'],Classic AI & Neural Network Architectures
W4327713517,"['ARIMA', 'Random Forest (RF)', 'Neural Network (NN)']",Classic Machine Learning
W3084541745,N/A,N/A
W3033328382,"['AI', 'drones', 'robots', 'intelligent diagnoses']",Classic AI & Neural Network Architectures
W4280589653,['machine learning'],Classic Machine Learning
W4226449712,['XGBoost'],Classic Machine Learning
W4200459217,"['Deep Convolutional Neural Networks (DCNN)', 'AlexNet', 'SqueezeNet', 'GoogLeNet', 'ResNet-50', 'ResNet-101']",Classic AI & Neural Network Architectures
W4308987459,"['Random Forests', 'Extreme Gradient Boosting', 'Generalized Linear Models (GLMs)', 'Generalized Additive Models (GAMs)']",Classic Machine Learning
W3097252853,['automated machine-learning methods'],Classic Machine Learning
W4284962752,['machine learning'],Classic Machine Learning
W3194738072,"['deep convolutional generative adversarial network', 'image-to-image translation', 'convolutional neural networks', 'adversarial networks']",Classic AI & Neural Network Architectures
W4220688845,[],Other
W4313574600,"['Support Vector Machine (SVM)', 'Decision Tree (DT)', 'Random Forest (RF)', 'Deep Neural Network (DNN)', 'Light Gradient Boosting Machine (LightGBM)', 'Extreme Gradient Boosting (XGBoost)', 'Categorical Boosting (CatBoost)']",Classic Machine Learning
W3122449402,"['Random Forest', 'Gradient Boosting Machine', 'Neural Network']",Classic Machine Learning
W4223602425,"['Supervised Learning', 'sequence representation strategies']",Classic Machine Learning
W4200223653,"['Random Forest', 'Logit Boost', 'Stochastic Gradient Boosting', 'Artificial Neural Network', 'K-Nearest Neighbor']",Classic Machine Learning
W3009111239,"['Spatiotemporal event detection', 'sensing capabilities']",Other
W3087613434,"['Random Forest', 'RetinaNet']",Classic AI & Neural Network Architectures
W4384830493,['machine learning model'],Classic Machine Learning
W4284704084,['machine learning'],Classic Machine Learning
W3159044987,['Transformers'],Classic AI & Neural Network Architectures
W4283591366,"['Mask R-CNN', 'ACE R-CNN']",Classic AI & Neural Network Architectures
W3200720309,['machine learning'],Classic Machine Learning
W4362640917,['machine learning models'],Classic Machine Learning
W3019878414,['self-organizing map'],Classic AI & Neural Network Architectures
W3139516621,['Transformers'],New Generation of AI
W4226278795,['neural network model'],Classic AI & Neural Network Architectures
W4318305674,['AI systems'],Other
W3215653694,"['MCQRNN', 'XAJ-MCQRNN']",Classic AI & Neural Network Architectures
W4214882912,['Convolutional Neural Networks (CNNs)'],Classic AI & Neural Network Architectures
W3129228561,['machine learning models'],Classic Machine Learning
W4388845362,"['Gaussian Processes', 'Autoencoders']",Classic Machine Learning
W4200208593,['Multi-Layer Perceptron Neural Network'],Classic Machine Learning
W3127896862,['machine learning methods'],Classic Machine Learning
W3080467569,['supervised machine learning'],Classic Machine Learning
W3040411089,['machine learning'],Classic Machine Learning
W3043608067,['artificial intelligence'],Classic AI & Neural Network Architectures
W2906822812,"['Deep-learning-based', 'Infrared satellite imagery', 'Visualization portal']",Classic Deep Learning
W3171474958,['XGboost'],Classic Machine Learning
W4296126282,['baseline machine learning models'],Classic Machine Learning
W4200302434,"['U-Net', 'ResU-Net', 'SegNet', 'FC-DenseNet', 'DeepLabv3+', 'DeepLabv3+']",Classic AI & Neural Network Architectures
W3210899793,['one-dimensional convolutional neural network'],Classic AI & Neural Network Architectures
W3144531949,"['AR', 'SARIMA', 'Holt-Winters']",Classic Machine Learning
W3174617618,"['models', 'satellite imagery', 'dataset']",Other
W4387437512,['data-driven'],Classic Machine Learning
W4316590524,"['computer vision', 'deep learning', 'Convolutional Neural Networks', 'Long Short-Term Memory']",Classic AI & Neural Network Architectures
W3168241862,N/A,N/A
W4200565577,['Recurrent Neural Networks (RNNs)'],Classic AI & Neural Network Architectures
W4282575238,"['Research focus', 'Career choice', 'Community formation', 'Science communication', 'Ethical thinking', 'Modeling of sociotechnical futures']",Other
W3015413887,['machine learning'],Classic Machine Learning
W3203217919,"['discriminative neural networks', 'domain adaptation neural networks']",Classic AI & Neural Network Architectures
W3144735436,[],Classic Machine Learning
W4303195676,"['Machine Learning', 'Deep learning']",Classic Machine Learning
W3099912322,['Codex'],New Generation of AI
W4291019702,['Next-generation AI'],New Generation of AI
